name,team,age,weight_lbs,position,country,weight_kg,height_feet,height_meter,height_to_weight
Gaetan Jobin,SWITZERLAND,18,179,Forward,ch,81.192968,6,1.8288000000000002,0.022524118098503312
Simon Knak,SWITZERLAND,17,190,Forward,ch,86.18248,6.083333333333333,1.8542,0.021514813683709267
Gilian Kohler,SWITZERLAND,19,163,Forward,ch,73.935496,5.833333333333333,1.778,0.02404798907415188
Julian Mettler,SWITZERLAND,19,168,Forward,ch,76.203456,5.833333333333333,1.778,0.023332275113611644
Valentin Nussbaumer,SWITZERLAND,19,165,Forward,ch,74.84268,5.916666666666667,1.8034000000000001,0.024095876844602574
Stephane Patry,SWITZERLAND,19,170,Forward,ch,77.11064,5.916666666666667,1.8034000000000001,0.023387174584467204
Joel Salzgeber,SWITZERLAND,18,170,Forward,ch,77.11064,5.833333333333333,1.778,0.02305777775933386
Sandro Schmid,SWITZERLAND,19,170,Forward,ch,77.11064,5.833333333333333,1.778,0.02305777775933386
Kyen Sopa,SWITZERLAND,19,190,Forward,ch,86.18248,5.75,1.7526000000000002,0.020335919783232046
Matthew Verboon,SWITZERLAND,19,190,Forward,ch,86.18248,6,1.8288000000000002,0.021220090208589962
Gian-Marco Wetter,SWITZERLAND,19,159,Forward,ch,72.121128,5.75,1.7526000000000002,0.02430078464662949
Lukas Dostal,CZECH REPUBLIC,19,168,Goaltender,cz,76.203456,6.083333333333333,1.8542,0.024332229761337858
Nick Malik,CZECH REPUBLIC,17,174,Goaltender,cz,78.925008,6.166666666666667,1.8796000000000002,0.023815011840100164
Lukas Parik,CZECH REPUBLIC,18,185,Goaltender,cz,83.91452,6.333333333333333,1.9304000000000001,0.02300436205796089
Tomas Dajcar,CZECH REPUBLIC,19,209,Defence,cz,94.80072799999999,6.333333333333333,1.9304000000000001,0.02036271282642471
Martin Hugo Has,CZECH REPUBLIC,18,187,Defence,cz,84.821704,6.333333333333333,1.9304000000000001,0.022758326100121736
Karel Klikorka,CZECH REPUBLIC,18,192,Defence,cz,87.089664,6.083333333333333,1.8542,0.021290701041170628
Simon Kubicek,CZECH REPUBLIC,17,194,Defence,cz,87.996848,6.166666666666667,1.8796000000000002,0.021359855980296022
Radek Kucerik,CZECH REPUBLIC,17,198,Defence,cz,89.811216,6.166666666666667,1.8796000000000002,0.02092834373826984
Ivan Lytvynov,CZECH REPUBLIC,19,165,Defence,cz,74.84268,5.833333333333333,1.778,0.023756498297495494
Jan Mlcak,CZECH REPUBLIC,18,179,Defence,cz,81.192968,5.916666666666667,1.8034000000000001,0.022211283124912988
Libor Zabransky,CZECH REPUBLIC,19,190,Defence,cz,86.18248,6.083333333333333,1.8542,0.021514813683709267
Matej Blumel,CZECH REPUBLIC,19,198,Forward,cz,89.811216,6,1.8288000000000002,0.02036271282642471
Petr Cajka,CZECH REPUBLIC,18,168,Forward,cz,76.203456,6,1.8288000000000002,0.023998911545429123
Jan Jenik,CZECH REPUBLIC,19,165,Forward,cz,74.84268,6.083333333333333,1.8542,0.02477463393881673
Jakub Lauko,CZECH REPUBLIC,19,170,Forward,cz,77.11064,6,1.8288000000000002,0.023716571409600543
Jan Mysak,CZECH REPUBLIC,17,176,Forward,cz,79.83219199999999,6,1.8288000000000002,0.0229080519297278
Ondrej Pavel,CZECH REPUBLIC,19,198,Forward,cz,89.811216,6.166666666666667,1.8796000000000002,0.02092834373826984
Matej Pekar,CZECH REPUBLIC,19,170,Forward,cz,77.11064,6,1.8288000000000002,0.023716571409600543
Karel Plasek,CZECH REPUBLIC,19,154,Forward,cz,69.853168,5.916666666666667,1.8034000000000001,0.02581701090493133
Jaromir Pytlik,CZECH REPUBLIC,18,196,Forward,cz,88.904032,6.25,1.905,0.021427599594133144
Adam Raska,CZECH REPUBLIC,18,168,Forward,cz,76.203456,5.833333333333333,1.778,0.023332275113611644
Vojtech Strondala,CZECH REPUBLIC,18,154,Forward,cz,69.853168,5.583333333333333,1.7018,0.024362531417329563
Otakar Sik,CZECH REPUBLIC,19,168,Forward,cz,76.203456,6.083333333333333,1.8542,0.024332229761337858
Jan Sir,CZECH REPUBLIC,19,174,Forward,cz,78.925008,6.166666666666667,1.8796000000000002,0.023815011840100164
Michal Teply,CZECH REPUBLIC,18,192,Forward,cz,87.089664,6.25,1.905,0.021874007919010917
Tobias Ancicka,GERMANY,18,172,Goaltender,de,78.017824,6.083333333333333,1.8542,0.023766363952934653
Hendrik Hane,GERMANY,19,163,Goaltender,de,73.935496,5.833333333333333,1.778,0.02404798907415188
Philipp Maurer,GERMANY,19,157,Goaltender,de,71.213944,6,1.8288000000000002,0.02568036394670123
Alexander Dersch,GERMANY,19,190,Defence,de,86.18248,6.333333333333333,1.9304000000000001,0.022398984109067183
Maximilian Glotzl,GERMANY,17,198,Defence,de,89.811216,6.166666666666667,1.8796000000000002,0.02092834373826984
Simon Gnyp,GERMANY,18,179,Defence,de,81.192968,5.916666666666667,1.8034000000000001,0.022211283124912988
Niklas Heinzinger,GERMANY,19,168,Defence,de,76.203456,5.833333333333333,1.778,0.023332275113611644
Leon Huttl,GERMANY,19,165,Defence,de,74.84268,5.916666666666667,1.8034000000000001,0.024095876844602574
Philipp Mass,GERMANY,19,185,Defence,de,83.91452,6,1.8288000000000002,0.021793606160173475
Eric Mik,GERMANY,19,170,Defence,de,77.11064,5.833333333333333,1.778,0.02305777775933386
Moritz Seider,GERMANY,18,207,Defence,de,93.893544,6.333333333333333,1.9304000000000001,0.02055945401315345
Daniel Wirt,GERMANY,19,183,Defence,de,83.007336,6.083333333333333,1.8542,0.02233778469893312
Dominik Bokk,GERMANY,19,181,Forward,de,82.100152,6.166666666666667,1.8796000000000002,0.022893989282748224
Louis Brune,GERMANY,19,185,Forward,de,83.91452,6,1.8288000000000002,0.021793606160173475
Tim Fleischer,GERMANY,19,181,Forward,de,82.100152,6,1.8288000000000002,0.022275232815646924
Taro Jentzsch,GERMANY,19,152,Forward,de,68.945984,6.166666666666667,1.8796000000000002,0.027261921448535717
Nino Kinder,GERMANY,18,170,Forward,de,77.11064,6,1.8288000000000002,0.023716571409600543
Dennis Lobach,GERMANY,19,157,Forward,de,71.213944,5.833333333333333,1.778,0.0249670205037373
Jan Nijenhuis,GERMANY,18,165,Forward,de,74.84268,5.916666666666667,1.8034000000000001,0.024095876844602574
John-Jason Peterka,GERMANY,17,181,Forward,de,82.100152,5.833333333333333,1.778,0.021656476348545617
Lukas Reichel,GERMANY,17,170,Forward,de,77.11064,6,1.8288000000000002,0.023716571409600543
Luis Schinko,GERMANY,19,179,Forward,de,81.192968,6,1.8288000000000002,0.022524118098503312
Justin Schutz,GERMANY,19,176,Forward,de,79.83219199999999,5.916666666666667,1.8034000000000001,0.022589884541814913
Tim Stutzle,GERMANY,17,185,Forward,de,83.91452,6.083333333333333,1.8542,0.022096295134620327
Yannik Valenti,GERMANY,19,174,Forward,de,78.925008,5.833333333333333,1.778,0.02252771390279745
Yaroslav Askarov,RUSSIA,17,176,Goaltender,ru,79.83219199999999,6.25,1.905,0.023862554093466458
Daniil Isayev,RUSSIA,19,165,Goaltender,ru,74.84268,6,1.8288000000000002,0.024435255391709654
Amir Miftakhov,RUSSIA,19,165,Goaltender,ru,74.84268,6,1.8288000000000002,0.024435255391709654
Danila Galenyuk,RUSSIA,19,201,Defence,ru,91.171992,6.166666666666667,1.8796000000000002,0.02061598039889268
Mikhail Gordeyev,RUSSIA,19,227,Defence,ru,102.965384,6.333333333333333,1.9304000000000001,0.018748048373228035
Anton Malyshev,RUSSIA,19,192,Defence,ru,87.089664,5.916666666666667,1.8034000000000001,0.020707394163330336
Daniil Misyul,RUSSIA,19,176,Defence,ru,79.83219199999999,6.166666666666667,1.8796000000000002,0.023544386705553574
Daniil Pylenkov,RUSSIA,19,194,Defence,ru,87.996848,6.083333333333333,1.8542,0.02107120927785959
Alexander Romanov,RUSSIA,19,183,Defence,ru,83.007336,5.916666666666667,1.8034000000000001,0.021725790597592484
Sergei Telegin,RUSSIA,19,176,Defence,ru,79.83219199999999,6,1.8288000000000002,0.0229080519297278
Yegor Zamula,RUSSIA,19,176,Defence,ru,79.83219199999999,6.25,1.905,0.023862554093466458
Danila Zhuravlyov,RUSSIA,19,163,Defence,ru,73.935496,6,1.8288000000000002,0.02473507447627051
Nikita Zorkin,RUSSIA,19,194,Defence,ru,87.996848,6.166666666666667,1.8796000000000002,0.021359855980296022
Nikita Alexandrov,RUSSIA,19,185,Forward,ru,83.91452,5.916666666666667,1.8034000000000001,0.02149091718572662
Grigori Denisenko,RUSSIA,19,181,Forward,ru,82.100152,5.916666666666667,1.8034000000000001,0.02196585458209627
Pavel Dorofeyev,RUSSIA,19,174,Forward,ru,78.925008,6.083333333333333,1.8542,0.023493187355774485
Maxim Groshev,RUSSIA,17,194,Forward,ru,87.996848,6.166666666666667,1.8796000000000002,0.021359855980296022
Alexander Khovanov,RUSSIA,19,198,Forward,ru,89.811216,5.916666666666667,1.8034000000000001,0.020079897370502146
Lev Komissarov,RUSSIA,19,170,Forward,ru,77.11064,5.916666666666667,1.8034000000000001,0.023387174584467204
Ilya Kruglov,RUSSIA,19,183,Forward,ru,83.007336,6,1.8288000000000002,0.0220317876482628
Kirill Marchenko,RUSSIA,19,181,Forward,ru,82.100152,6.166666666666667,1.8796000000000002,0.022893989282748224
Ivan Morozov,RUSSIA,19,196,Forward,ru,88.904032,6.083333333333333,1.8542,0.020856196938289592
Vasili Podkolzin,RUSSIA,18,192,Forward,ru,87.089664,6.083333333333333,1.8542,0.021290701041170628
Nikita Rtishchev,RUSSIA,19,192,Forward,ru,87.089664,6.083333333333333,1.8542,0.021290701041170628
Zakhar Shablovsky,RUSSIA,19,185,Forward,ru,83.91452,6.083333333333333,1.8542,0.022096295134620327
Egor Sokolov,RUSSIA,19,240,Forward,ru,108.86207999999999,6.333333333333333,1.9304000000000001,0.017732529086344852
Maksim Sorkin,RUSSIA,19,187,Forward,ru,84.821704,5.916666666666667,1.8034000000000001,0.021261067804061094
Dmitry Voronkov,RUSSIA,19,190,Forward,ru,86.18248,6.333333333333333,1.9304000000000001,0.022398984109067183
Spencer Knight,UNITED STATES,18,194,Goaltender,us,87.996848,6.25,1.905,0.021648502682732454
Isaiah Saville,UNITED STATES,19,181,Goaltender,us,82.100152,6.083333333333333,1.8542,0.022584611049197574
Dustin Wolf,UNITED STATES,18,161,Goaltender,us,73.028312,6,1.8288000000000002,0.02504234248218691
Ty Emberson,UNITED STATES,19,194,Defence,us,87.996848,6.083333333333333,1.8542,0.02107120927785959
Jordan Harris,UNITED STATES,19,179,Defence,us,81.192968,5.916666666666667,1.8034000000000001,0.022211283124912988
Zac Jones,UNITED STATES,19,176,Defence,us,79.83219199999999,5.833333333333333,1.778,0.022271717153902026
Christian Krygier,UNITED STATES,19,192,Defence,us,87.089664,6.166666666666667,1.8796000000000002,0.021582354480090774
K'Andre Miller,UNITED STATES,19,207,Defence,us,93.893544,6.333333333333333,1.9304000000000001,0.02055945401315345
Mattias Samuelsson,UNITED STATES,19,220,Defence,us,99.79024,6.333333333333333,1.9304000000000001,0.019344577185103476
Spencer Stastney,UNITED STATES,19,179,Defence,us,81.192968,5.833333333333333,1.778,0.021898448151322664
Cam York,UNITED STATES,18,172,Defence,us,78.017824,5.916666666666667,1.8034000000000001,0.02311523069395014
John Beecher,UNITED STATES,18,209,Forward,us,94.80072799999999,6.25,1.905,0.020094782394498068
Bobby Brink,UNITED STATES,18,165,Forward,us,74.84268,5.666666666666667,1.7272,0.023077741203281335
Cole Caufield,UNITED STATES,18,163,Forward,us,73.935496,5.583333333333333,1.7018,0.02301736097097394
Jack Drury,UNITED STATES,19,179,Forward,us,81.192968,6,1.8288000000000002,0.022524118098503312
Parker Ford,UNITED STATES,19,176,Forward,us,79.83219199999999,6,1.8288000000000002,0.0229080519297278
Curtis Hall,UNITED STATES,19,196,Forward,us,88.904032,6.25,1.905,0.021427599594133144
Arthur Kaliyev,UNITED STATES,18,190,Forward,us,86.18248,6.166666666666667,1.8796000000000002,0.021809537158828572
Shane Pinto,UNITED STATES,19,192,Forward,us,87.089664,6.166666666666667,1.8796000000000002,0.021582354480090774
Jacob Pivonka,UNITED STATES,19,198,Forward,us,89.811216,5.916666666666667,1.8034000000000001,0.020079897370502146
Nick Robertson,UNITED STATES,18,161,Forward,us,73.028312,5.75,1.7526000000000002,0.023998911545429123
Alex Turcotte,UNITED STATES,18,185,Forward,us,83.91452,5.916666666666667,1.8034000000000001,0.02149091718572662
Oliver Wahlstrom,UNITED STATES,19,187,Forward,us,84.821704,5.916666666666667,1.8034000000000001,0.021261067804061094
Trevor Zegras,UNITED STATES,18,174,Forward,us,78.925008,6,1.8288000000000002,0.023171362871448806
Liam Foudy,CANADA,NA,182,Forward,ca,82.553744,6.083333333333333,1.8542,0.022460519779696486
Joe Veleno,CANADA,NA,200,Forward,ca,90.7184,6.166666666666667,1.8796000000000002,0.020719060300887143
Raphael Lavoie,CANADA,NA,198,Forward,ca,89.811216,6.333333333333333,1.9304000000000001,0.02149397465011497
Alexis Lafreniere,CANADA,NA,194,Forward,ca,87.996848,6.083333333333333,1.8542,0.02107120927785959
Akil Thomas,CANADA,NA,180,Forward,ca,81.64656,6,1.8288000000000002,0.022398984109067183
Connor McMichael,CANADA,NA,181,Forward,ca,82.100152,6,1.8288000000000002,0.022275232815646924
Ty Dellandrea,CANADA,NA,190,Forward,ca,86.18248,6.083333333333333,1.8542,0.021514813683709267
Quinton Byfield,CANADA,NA,215,Forward,ca,97.52228,6.333333333333333,1.9304000000000001,0.019794451073129136
Dawson Mercer,CANADA,NA,178,Forward,ca,80.739376,6,1.8288000000000002,0.022650658087820748
Dylan Cozens,CANADA,NA,185,Forward,ca,83.91452,6.25,1.905,0.022701673083514035
Aidan Dudas,CANADA,NA,168,Forward,ca,76.203456,5.666666666666667,1.7272,0.022665638681794168
Barrett Hayton,CANADA,NA,190,Forward,ca,86.18248,6.083333333333333,1.8542,0.021514813683709267
Nolan Foote,CANADA,NA,200,Forward,ca,90.7184,6.333333333333333,1.9304000000000001,0.02127903490361382
Kevin Bahl,CANADA,NA,240,Defence,ca,108.86207999999999,6.583333333333333,2.0066,0.018432497339753204
Calen Addison,CANADA,NA,180,Defence,ca,81.64656,5.833333333333333,1.778,0.021776790106037537
Bowen Byram,CANADA,NA,192,Defence,ca,87.089664,6.083333333333333,1.8542,0.021290701041170628
Jacob Bernard-Docker,CANADA,NA,195,Defence,ca,88.45044,6.083333333333333,1.8542,0.020963151794383385
Jamie Drysdale,CANADA,NA,170,Defence,ca,77.11064,5.916666666666667,1.8034000000000001,0.023387174584467204
Jared McIsaac,CANADA,NA,191,Defence,ca,86.636072,6.083333333333333,1.8542,0.021402170680129635
Ty Smith,CANADA,NA,175,Defence,ca,79.3786,5.916666666666667,1.8034000000000001,0.022718969596339567
Nico Daws,CANADA,NA,202,Goaltender,ca,91.625584,6.333333333333333,1.9304000000000001,0.021068351389716654
Joel Hofer,CANADA,NA,172,Goaltender,ca,78.017824,6.416666666666667,1.9558000000000002,0.025068630470903675
Olivier Rodrigue,CANADA,NA,156,Goaltender,ca,70.760352,6.083333333333333,1.8542,0.026203939742979233
